epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4847.06,1.5489,1.65186,1.73217,0.52198,0.42587,0.44704,0.25598,1.53026,1.50234,1.6955,0.000911,0.000911,0.000911
57,4931.89,1.56485,1.65062,1.72641,0.55267,0.43268,0.45528,0.25846,1.52147,1.50063,1.67843,0.0008912,0.0008912,0.0008912
58,5016.17,1.52383,1.62903,1.72019,0.55676,0.43373,0.4626,0.25828,1.51475,1.50826,1.66823,0.0008714,0.0008714,0.0008714
59,5101.17,1.54946,1.62418,1.70873,0.54374,0.43798,0.46346,0.26499,1.50524,1.47975,1.67268,0.0008516,0.0008516,0.0008516
60,5184.25,1.53036,1.64637,1.72096,0.55945,0.43636,0.46229,0.26163,1.50623,1.51576,1.65316,0.0008318,0.0008318,0.0008318
61,5266.89,1.54333,1.62617,1.70955,0.56638,0.44108,0.47247,0.27037,1.50503,1.47525,1.65508,0.000812,0.000812,0.000812
62,5352.75,1.51686,1.59214,1.6989,0.56503,0.43627,0.46532,0.26984,1.49378,1.46381,1.64453,0.0007922,0.0007922,0.0007922
63,5436.59,1.51812,1.61457,1.69866,0.57536,0.43991,0.47865,0.27831,1.4777,1.42595,1.64465,0.0007724,0.0007724,0.0007724
64,5521.35,1.50929,1.59383,1.69922,0.54498,0.44079,0.46684,0.27456,1.47818,1.45028,1.62919,0.0007526,0.0007526,0.0007526
65,5607.43,1.5096,1.58411,1.70004,0.55873,0.44937,0.47967,0.2796,1.47329,1.43257,1.63228,0.0007328,0.0007328,0.0007328
66,5691.41,1.51935,1.58145,1.70831,0.57372,0.46125,0.48605,0.27976,1.46428,1.44932,1.62476,0.000713,0.000713,0.000713
67,5775.7,1.50286,1.57661,1.69562,0.59151,0.45475,0.49336,0.28598,1.46743,1.4086,1.62018,0.0006932,0.0006932,0.0006932
68,5860.28,1.50545,1.56979,1.69093,0.5819,0.45708,0.49211,0.28623,1.47492,1.40034,1.62759,0.0006734,0.0006734,0.0006734
69,5943.95,1.47664,1.53471,1.66856,0.59559,0.45684,0.49748,0.28597,1.45427,1.39758,1.60904,0.0006536,0.0006536,0.0006536
70,6026.95,1.4851,1.56361,1.67772,0.58066,0.46382,0.49601,0.29203,1.44799,1.38239,1.61636,0.0006338,0.0006338,0.0006338
71,6112.53,1.4725,1.54486,1.66591,0.60124,0.46622,0.50608,0.29557,1.43503,1.37094,1.59731,0.000614,0.000614,0.000614
72,6197.03,1.47868,1.52643,1.66901,0.57298,0.44397,0.48777,0.29042,1.42969,1.39322,1.61026,0.0005942,0.0005942,0.0005942
73,6285.83,1.48026,1.54818,1.66972,0.62,0.45711,0.51052,0.29586,1.4328,1.36361,1.59829,0.0005744,0.0005744,0.0005744
74,6376.81,1.49075,1.5337,1.67123,0.60895,0.4732,0.51866,0.30443,1.42102,1.34569,1.58329,0.0005546,0.0005546,0.0005546
75,6466.02,1.45025,1.53374,1.65918,0.60226,0.46847,0.5125,0.30048,1.43316,1.36157,1.58102,0.0005348,0.0005348,0.0005348
